rank,address,amount
78,0x1a108bea75191260e72d3d7d0cf48db289a18eb65e2cc0f1515737319239619d,229733700000
79,0x8e12c0a7bff9b2a503183048828ae4a55f2b3c5147a88394b3285ac799c1bbc8,228900000000
80,0x88f75304b3f9c62b06ed5a55331714092e906f99c2bc50d2121bc3ef71027fda,226800000000
81,0x7faac4f3fe6cd91cc2bd2fb6216124e8b07ff3502a9033bbba3817eef02ee3ba,225750000000
82,0x5a472c96675b0a1d41be72318d6b2264f1b4da8171a318626ef1c70038a1e5cb,225750000000
83,0x001fee903f427a685b40368102d4471916fbd0453ae58cbc23f705790bc3f469,225225000000
84,0xbcb2dd58087fdd1f639eaa6e8a43fb7ee915afa0a0656c88a558d635eb28b151,224300000000
85,0x47c49ad5e3eb86a06c3801c6014dcff873913ee802dd26e979f470b43ad10ce8,221183865000
86,0x3fce522e03350017ce651bb9f3e9234fca633562006fb4d769bd3173db49bc64,215775000000
87,0x8a2ee101fb7aad5489ce38a5bda27dd7f99eed264589fc02a98e391db01b4d08,209149500000
88,0xfba4c0efc1ef56bd1916f9456fc527891f0bc37653fac727304529964ea5d578,203700000000
89,0xb5af024a6038ac3c853b48b5e255845de31474d6fa3d7a35233f6ec66da19250,202170000000
90,0xe25a10d8c6ec7cca4732297a0b3a543cc24c3e2c20c02990d7a01dda9d13edd6,199710000000
91,0x9c03deedd937470cba60b58a4fcac8e7f3908d48564cdbc89deff889e131c753,199500000000
92,0xb7f6bf0d42322572c4343fe7c172440cc5647e0da17b16ff6dbe48716e2b9971,198450000000
93,0xe6b6849126c345010c93022f038ff1f6fb9a759dd7848e4d9e22f68c764377e7,196350000000
94,0x2428ba87aa8a36d6aefcb2a995aee3bf09e580a41dc45daf3165802c18d788d6,191425500000
95,0x097757882f7b6f5785d363dc6adcda96364f8dbf2731afc0ab0d7a5973fcdd31,187026000000
96,0xbbc6bcceb54cb653375c6d47bbda9db5c12b52620cd020503ffaf7f4533946d6,178500000000
97,0xb7909ac180f35f4a7818b71f99c212f3fdb5ed59791e1b439ebd01728f87161d,177975000000
98,0x6932ff4b6bc0e50070d7150e3af0a49b89df85552fafb25aea5b666c45f25349,177285150000
99,0xefc7c7656b6099d4da29dc1bb963600815a455bde742602cbc34de75ad8d1372,176715000000
100,0xe8acb54aecded680a637e630875c4fd8ca080164e10f92d522ad165e8d04463b,176400000000
101,0x4e3e097d95fb7cb0f9174d16985cb043d919910fff8d917945e5ada2f52778ba,174510000000
102,0xb8f6c3e34a838755bb096e4d7af2a73a0ce9adb2defe73254fea59d9555585b4,172200000000
103,0x7f413723a916131412d3251afc65c5d49d0accd41a2e430c3576b4b7be1a3609,172200000000
104,0x91e6af1dbfc99c04aab12c97b6aaa14c3bd8ebb660266164e03e1780d4a2c909,168840000000
105,0x89616b9f135e60b514e70701e1653b4c26612d6618c99562044929859e5ae639,166505745000
106,0xc7db10a90785f797f180611b1646710dbc313de6b6736273823d775f80a3d840,165900000000
107,0xa73c67608facb7521cb69fd8e23784d2f9dc638d2dc06af296e53a936e03b1be,165375000000
108,0xfb1bb74cfa20a99fb8a9d0822c68b28623c407b6cb497734d7ef4f3da52b624e,164850000000
109,0xdb82d4f408b4233da2cf743b43ed5a38d73c7248dca759e81fc27d2fbcd84281,162750000000
110,0xcf3bd79126af5ba9011c36dcdaeba443692f89aa3ddc1f796fd4f6a411813f10,162000000000
111,0xfdf6251265869f84d9de4edc9e697a725ec3ba30562fb10dfccfd4964e19a630,158655000000
112,0xd0055af217bd9ac9e11c14eabcc8bc9d6b443d93ff4dbc49b642459197bbc500,158550000000
113,0xf42ce2a75197c95fbf75338e00556e0f1b961f453358087896593b6aac3456df,157500000000
114,0x1581156afcdf552c3b8ca96c1775938aa06c498bbdefa076f9d498aedcd5f2c4,157500000000
115,0x14d40e79ed4be44d20e84f2f230a045618c44e5b81c4bc0b39ca9c739d7fedc3,156345000000
116,0x8296539766587af845bd559d48448012ee90341ab48ea4c5f97c5dc7b5eea3b2,156135000000
117,0x9af1da99e2592d890638dba8fdd397acd12990ddf5710706f9e5a9a894f368be,155400000000
118,0x388c168adb3590b0df9990b440f3c995d1d771b12ab4f967c86a73655822d849,154360500000
119,0xb54591386e926e9f19b610f56c38ecb7d8d3a0ad4c85234659fdd2be14a5a608,154324800000
120,0x5976dbc61dcc21e280176c67c5c473387f7226cc19a171a703ae7069eb446d7f,152250000000
121,0x79336d6cae29b9a03ed89093a9e0669dee1600cde30bd39c42fd0603fbb3f08d,151095000000
122,0xe5a262a1439b03d41d4f45b49e0152e5c290ddfeb786c2b1d8215e9be800a836,150150000000
123,0x16e1ae19cc0af0aae08384747f207b016eb111e6e3a1ff4f69b9cb0d37c9c8ae,150150000000
124,0xf717453cd70859882c1d8fb937cad41ea5199ffc947e5f0971e186f3321332c8,148050000000
125,0xc6b8ef0d2e5b12a6e7b518de3ba6e38fd65308347420075d5d085f2f565209f8,147682500000
126,0x6ed30a2c5074ed49e418f77bb16b9ae8d3a70d9b092754c66b6563595caee1be,147000000000
127,0x9949ccbeffb47d477db42569299b7906e4d9c417ed437b9dd0bff2b4c7e1a1e3,146842500000
128,0x22148fa34ed2ae5da23fa5e1f24976f2ca6152fd97e71c9efefe733ca3abca02,141750000000
129,0xd5ddc03e2574f66ae59c243ed9a24203f92b49437432bd1b9e9194f0f611211d,139650000000
